drug	identifier	from	target
HYDROXYUREA	CHEMBL1750	CHEMBL_COMPOUND	RRM1
Hydroxyurea	CHEMBL1750	CHEMBL_COMPOUND	RRM1
Imexon	CHEMBL1750	CHEMBL_COMPOUND	RRM1
MOTEXAFIN GADOLINIUM	CHEMBL1750	CHEMBL_COMPOUND	RRM1
TEZACITABINE	CHEMBL1750	CHEMBL_COMPOUND	RRM1
Tezacitabine	CHEMBL1750	CHEMBL_COMPOUND	RRM1
CLOFARABINE	CHEMBL1750	CHEMBL_COMPOUND	RRM2
Cladribine	CHEMBL1750	CHEMBL_COMPOUND	RRM2
FLUDARABINE PHOSPHATE	CHEMBL1750	CHEMBL_COMPOUND	RRM2
GALLIUM NITRATE	CHEMBL1750	CHEMBL_COMPOUND	RRM2
GEMCITABINE HYDROCHLORIDE	CHEMBL1750	CHEMBL_COMPOUND	RRM2
GTI 2040	CHEMBL1750	CHEMBL_COMPOUND	RRM2
Gallium nitrate	CHEMBL1750	CHEMBL_COMPOUND	RRM2
HYDROXYUREA	CHEMBL1750	CHEMBL_COMPOUND	RRM2
Imexon	CHEMBL1750	CHEMBL_COMPOUND	RRM2
MOTEXAFIN GADOLINIUM	CHEMBL1750	CHEMBL_COMPOUND	RRM2
Motexafin gadolinium	CHEMBL1750	CHEMBL_COMPOUND	RRM2
TEZACITABINE	CHEMBL1750	CHEMBL_COMPOUND	RRM2
CLOFARABINE	CHEMBL1750	CHEMBL_COMPOUND	RRM2B
Cladribine	CHEMBL1750	CHEMBL_COMPOUND	RRM2B
FLUDARABINE PHOSPHATE	CHEMBL1750	CHEMBL_COMPOUND	RRM2B
GALLIUM NITRATE	CHEMBL1750	CHEMBL_COMPOUND	RRM2B
GEMCITABINE HYDROCHLORIDE	CHEMBL1750	CHEMBL_COMPOUND	RRM2B
HYDROXYUREA	CHEMBL1750	CHEMBL_COMPOUND	RRM2B
MOTEXAFIN GADOLINIUM	CHEMBL1750	CHEMBL_COMPOUND	RRM2B
TEZACITABINE	CHEMBL1750	CHEMBL_COMPOUND	RRM2B
Glutamic acid	DB00142	DRUGBANK	GMPS
Deamido-Nad+	DB04099	DRUGBANK	NMNAT1
Nicotinamide Mononucleotide	DB04099	DRUGBANK	NMNAT1
AZATHIOPRINE	CHEMBL1542	CHEMBL_COMPOUND	PPAT
AZATHIOPRINE SODIUM	CHEMBL1542	CHEMBL_COMPOUND	PPAT
Dasatinib	CHEMBL1542	CHEMBL_COMPOUND	PPAT
L-Glutamine	CHEMBL1542	CHEMBL_COMPOUND	PPAT
MERCAPTOPURINE	CHEMBL1542	CHEMBL_COMPOUND	PPAT
Mercaptopurine	CHEMBL1542	CHEMBL_COMPOUND	PPAT
(1S,2S,3R,4S,5S)-2,3,4-TRIHYDROXY-5-(HYDROXYMETHYL)CYCLOHEXYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE	DB04659	DRUGBANK	LCT
2-HYDROXYMETHYL-6-OCTYLSULFANYL-TETRAHYDRO-PYRAN-3,4,5-TRIOL	DB04659	DRUGBANK	LCT
2-deoxy-2-fluoro-α-D-glucose	DB04659	DRUGBANK	LCT
D-gluconhydroximo-1,5-lactam	DB04659	DRUGBANK	LCT
ETHYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE	DB04659	DRUGBANK	LCT
Gluconolactone	DB04659	DRUGBANK	LCT
Nojirimycine Tetrazole	DB04659	DRUGBANK	LCT
alpha-D-Xylopyranose	DB04659	DRUGBANK	LCT
Phosphomethylphosphonic acid guanosyl ester	DB03486	DRUGBANK	CANT1
Tromethamine	DB03486	DRUGBANK	CANT1
Deamido-Nad+	DB04099	DRUGBANK	NMNAT3
Nicotinamide Mononucleotide	DB04099	DRUGBANK	NMNAT3
Amifostine	DB01143	DRUGBANK	ENPP1
Polyethylene glycol 400	DB01143	DRUGBANK	ENPP1
Ribavirin	DB01143	DRUGBANK	ENPP1
Taribavirin	DB01143	DRUGBANK	ENPP1
