drug	identifier	from	target
Dextromethorphan	DB00321	DRUGBANK	SIGMAR1
Dimethyltryptamine	DB00321	DRUGBANK	SIGMAR1
FENFLURAMINE HYDROCHLORIDE	DB00321	DRUGBANK	SIGMAR1
Haloperidol	DB00321	DRUGBANK	SIGMAR1
Hydrocodone	DB00321	DRUGBANK	SIGMAR1
Naltrexone	DB00321	DRUGBANK	SIGMAR1
Noscapine	DB00321	DRUGBANK	SIGMAR1
PENTAZOCINE HYDROCHLORIDE	DB00321	DRUGBANK	SIGMAR1
PENTAZOCINE LACTATE	DB00321	DRUGBANK	SIGMAR1
Pentazocine	DB00321	DRUGBANK	SIGMAR1
Pentoxyverine	DB00321	DRUGBANK	SIGMAR1
Phencyclidine	DB00321	DRUGBANK	SIGMAR1
Prasterone	DB00321	DRUGBANK	SIGMAR1
Remoxipride	DB00321	DRUGBANK	SIGMAR1
AT-7519	CHEMBL445813	CHEMBL_COMPOUND	CDK5
AZD-5438	CHEMBL445813	CHEMBL_COMPOUND	CDK5
DINACICLIB	CHEMBL445813	CHEMBL_COMPOUND	CDK5
PHA-793887	CHEMBL445813	CHEMBL_COMPOUND	CDK5
RGB-286638	CHEMBL445813	CHEMBL_COMPOUND	CDK5
RONICICLIB	CHEMBL445813	CHEMBL_COMPOUND	CDK5
SELICICLIB	CHEMBL445813	CHEMBL_COMPOUND	CDK5
AMG-548	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
ARRY-797	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
AVE-9940	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
AZD-6703	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
AZD-7624	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
DORAMAPIMOD	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
GSK-610677	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
LEO-15520	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
LY-3007113	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
PEXMETINIB	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
PF-03715455	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
PS-516895	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
R-1487	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
RO-3201195	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
RWJ-67657	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
SB-85635	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
SC-80036	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
SCIO-323	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
SD-0006	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
TA-5493	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
Dihydromorphine	DB01565	DRUGBANK	TRIM13
Diprenorphine	DB01565	DRUGBANK	TRIM13
Etorphine	DB01565	DRUGBANK	TRIM13
Fostamatinib	DB12010	DRUGBANK	EIF2AK4
