Gene	Synonyms	GeneID	Aliases	Organism	Interaction	Interaction_Type	Drug
MCL1	MCL1;bcl2-L-3;BCL2L3;EAT;Mcl-1;MCL1-ES;mcl1/EAT;MCL1L;MCL1S;TM	4170	GeneID:4170;HGNC:HGNC:6943;HPRD:08870;MIM:159552;ensembl_gene_id:ENSG00000143384	Homo sapiens	Bcl2l11;BCL2L11;BBC3;PMAIP1;CASP3;BAD;MCL1;BAX;BAK1;PCNA;DAD1;MAPK10;PIN1;HUWE1;USP9X;UHRF2;MYC;ATG12;BTRC;CAV1;BAG3;LYN;BECN1;AGO2;PRKN;TPT1;FBXW7;NXF1;Bax;EDNRA;UNK;USP27X;TP53;DUSP22;EDEM2;RANBP6;C5AR2;HSP90AA1;GSK3B;GSK3A;MAPK1;FBXW11;EGLN3;USP13;HIF1A;BCL2L1;DOT1L;HRAS;HRAS;NRAS;KRAS;USP17L2;BAG6;BAG6;BAG6;BAG6;BAG6;BAG6;BAG6;DBI;PEBP1;RBM10;PINK1;CPT2;PRKAB2;ECM1;MLLT11;FLG;TRIM11;ASPRV1;BOK;PRKAA1;FBXO4;HSPA4;VDAC1;SKP1;HSPA1A;ARG1;CUL1;TNKS;BAG4;TRAF6;HSPA8;PRKAG1;HRK;PRKAB1;APEX1;BMF;STARD9;ERBB2;PDK2;PRKAR1A;SERPINB7;UBXN6;NSFL1C;BID;EP300;BIK;TXLNG;HSPA1A;HSPA1A;HSPA1A;HSPA1A;TNKS	Physical Interaction;Genetic Interaction	
CASP7	CASP7;CASP-7;CMH-1;ICE-LAP3;LICE2;MCH3	840	GeneID:840;HGNC:HGNC:1508;HPRD:03457;MIM:601761;ensembl_gene_id:ENSG00000165806	Homo sapiens	HSPA5;BIRC7;BIRC5;XIAP;CASP8;BIRC3;BIRC2;CASP10;BIRC6;TERF1;CCT2;VCP;CASP3;CASP7;GZMB;Gzmb;CAPN1;CNDP2;EEF2;GNS;PEPD;CTSA;BAX;FBXW11;ATXN3;DFFA;CASP9;RPS6KA1;CLSPN;GBP2;PARP1;STAT1;CTBP1;EIF4H;COPS6;CASP2;SPTAN1;VIM;CRYAB;TNFRSF1A;SP1;PTGES3;RB1;PLA2G4B;GINS2;MVD;MAPT;ARHGDIA;ROCK1;SAT1;RPS6KA1;MAPT;MAPT	Physical Interaction	Fica
TRADD	TRADD;Hs.89862	8717	GeneID:8717;HGNC:HGNC:12030;HPRD:04610;MIM:603500;ensembl_gene_id:ENSG00000102871	Homo sapiens	TNFRSF25;TRPC4AP;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;CASP8;NGFR;BCL10;TRAF2;CAV1;TNFRSF21;TNFRSF1A;FADD;TNFRSF10B;TNFRSF10A;HIPK2;RIPK1;TRAF1;TRADD;KRT18;PPP2R1A;USP2;TRIP12;CDKN2A;TNFRSF1B;Tnfrsf1a;EDAR;FAS;GFRA1;CHUK;LRRK2;OPTN;TOMM70;ZMYND11;PDLIM7;XPO1;NEDD1;Nedd1;TRAF6;Pparg;BPNT1;SPATA2;MAD2L2;APBB2;TNFAIP3;IKBKG;TNIP1;RFK;PLOD1;HNRNPCL2;PDPN;RCC2;AKR7A2;PKN2;RNF115;ANTXR1;POLR1A;RANBP2;STAT1;CHPF;THAP4;RRP9;PCOLCE2;NLGN1;AFM;TENM3;KLKB1;C1QTNF3;SRP19;G3BP1;CHST12;CCAR2;UBE2V2;NOL6;PCSK5;OGN;PRPF4;DAB2IP;MINDY3;HERC4;IFIT3;DENND5A;UEVLD;BIRC2;RFC3;TRAF3;ULK3;HAPLN3;EIF3C;NOL3;COASY;NUP85;DUS3L;S1PR2;SH3KBP1;THOC2;HNRNPCL2;RCC2;HNRNPCL2;HNRNPCL2	Physical Interaction	
MAPK14	MAPK14;CSBP;CSBP1;CSBP2;CSPB1;EXIP;Mxi2;p38;p38ALPHA;PRKM14;PRKM15;RK;SAPK2A	1432	GeneID:1432;HGNC:HGNC:6876;HPRD:02619;MIM:600289;ensembl_gene_id:ENSG00000112062	Homo sapiens	HTRA2;DUSP10;ZFP36L1;MAPK14;MAP2K6;RPS6KA4;AKT1;MAPKAPK2;ATF2;SPAG9;DUSP16;DUSP16;CDC25B;CDC25C;MAPKAPK3;TAB1;DUSP4;DUSP1;MAP2K3;PLCB2;TGFBR1;CAMKK2;MYEF2;CSNK2B;CSNK2B;CSNK2B;CSNK2B;CSNK2B;CSNK2B;CSNK2B;NFKBIA;IKBKB;PAK6;RELA;MAPK11;Dusp9;HDGF;KAT2B;EP300;HDAC3;TP53;CBL;MAP2K4;SQSTM1;ATM;CDK13;ARHGAP9;Dlg4;Dlg4;TSC1;RB1;BTRC;ARRB1;ADRB2;SUPT20H;BICD1;CEP164;SRPK1;PDX1;PTPRR;YWHAE;YWHAE;CDT1;MYO19;MYO19;NFATC4;PTPN7;F2R;SQSTM1;RPS6KA5;MKNK1;MKNK2;NFATC4;CALM1;DUSP9;DUSP2;RALB;GTSF1;MYF6;GPR156;HOXC10;LCOR;FAM19A3;LIPG;PTPN5;TRIM25;ILKAP;NFIC;NEDD4;RECQL4;ULK1;ATG13;RPL22;EPHA2;HDAC1;MARCKSL1;PHC2;EPS15;JUN;FUBP1;ARNT;S100A9;SNAPIN;YY1AP1;MEF2D;ATF6;TRMT1L;PTPRC;ACTA1;ADSS;PPM1G;SPTBN1;AMMECR1L;NEB;STK39;GORASP2;HSPD1;CASP8;CREB1;ZNF142;OBSL1;NKTR;CDC25A;DUSP7;ROBO1;ARL13B;CCDC14;CNBP;PAK2;WDR1;PI4K2B;CENPC;UGT2B10;CASP3;RICTOR;OXCT1;MEF2C;SLC12A2;FGFR4;HIVEP1;CDKN1A;CUL7;TMEM63B;LRRC1;EEF1A1;TAB2;PLG;FOXK1;ETV1;HOXA5;HOXA10;EGFR;BAZ1B;LIMK1;HSPB1;CDK6;MUC12;ZNHIT1;SMARCD3;KMT2C;EIF4EBP1;COPS5;MYC;CDKN2A;MOB3B;CIZ1;GATA3;BMI1;MAPK8;TOLLIP;USP47;PAK1;DCUN1D5;CCND2;CD4;TFCP2;KRT8;SP1;HOXC9;RPL41;DDIT3;CDK4;DUSP6;STAB2;MAPKAPK5;PTPN11;FBXW8;LATS2;NRL;GMFB;MAX;SRSF5;ELMSAN1;PPP4R3A;EPB42;IQGAP1;MEF2A;RHBDF1;GFER;FLYWCH2;KIF22;MAZ;MAPK3;MYLK3;BCAR1;KARS;KAT2A;MAPT;HOXB6;HOXB9;NME1;TYMS;RNF138;SMAD7;MBP;STK11;CSNK1G2;AES;EEF2;MAP2K7;GDF15;DYRK1B;MAP3K10;CCDC97;ERF;CCDC8;CSNK2A1;SLX4IP;BCL2L1;TPX2;NCOA3;RRP1B;PPIL2;MAPK1;NF2;TCF20;RPS6KA3;USP11;TCEAL1;PAK3;SH2D1A;INTS6L;IRAK1;FLNA;DYRK1B;TCF20;TCF20;PTPRC;UGT2B10;MAPT;TCF20;MAPT;TCF20;Rps6kb1;NRL;BCAR1;DCAF1	Physical Interaction;Genetic Interaction	4-[3-Methylsulfanylanilino]-6,7-Dimethoxyquinazoline;N-(3-TERT-BUTYL-1H-PYRAZOL-5-YL)-N'-{4-CHLORO-3-[(PYRIDIN-3-YLOXY)METHYL]PHENYL}UREA;4-[5-(3-IODO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-1H-IMIDAZOL-4-YL]-PYRIDINE;Inhibitor of P38 Kinase;N,4-dimethyl-3-[(1-phenyl-1H-pyrazolo[3,4-d]pyrimidin-4-yl)amino]benzamide;1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperidin-4-Yl-3,4-Dihydroquinolin-2(1h)-One;N-[(3z)-5-Tert-Butyl-2-Phenyl-1,2-Dihydro-3h-Pyrazol-3-Ylidene]-N'-(4-Chlorophenyl)Urea;N-cyclopropyl-4-methyl-3-[1-(2-methylphenyl)phthalazin-6-yl]benzamide;4-{4-[(5-hydroxy-2-methylphenyl)amino]quinolin-7-yl}-1,3-thiazole-2-carbaldehyde;4-[3-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL]PYRIDINE;N-cyclopropyl-2',6-dimethyl-4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-carboxamide;2-(ETHOXYMETHYL)-4-(4-FLUOROPHENYL)-3-[2-(2-HYDROXYPHENOXY)PYRIMIDIN-4-YL]ISOXAZOL-5(2H)-ONE;4-(2-HYDROXYBENZYLAMINO)-N-(3-(4-FLUOROPHENOXY)PHENYL)PIPERIDINE-1-SULFONAMIDE;6-[4-(2-fluorophenyl)-1,3-oxazol-5-yl]-N-(1-methylethyl)-1,3-benzothiazol-2-amine;N-cyclopropyl-4-methyl-3-{2-[(2-morpholin-4-ylethyl)amino]quinazolin-6-yl}benzamide;4-(4-FLUOROPHENYL)-1-CYCLOROPROPYLMETHYL-5-(4-PYRIDYL)-IMIDAZOLE;6((S)-3-Benzylpiperazin-1-Yl)-3-(Naphthalen-2-Yl)-4-(Pyridin-4-Yl)Pyrazine;SB220025;4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole;2-Chlorophenol;[5-AMINO-1-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL](3-{[(2R)-2,3-DIHYDROXYPROPYL]OXY}PHENYL)METHANONE;[5-AMINO-1-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL][3-(PIPERIDIN-4-YLOXY)PHENYL]METHANONE;N-cyclopropyl-3-{[1-(2,4-difluorophenyl)-7-methyl-6-oxo-6,7-dihydro-1H-pyrazolo[3,4-b]pyridin-4-yl]amino}-4-methylbenzamide;N-[2-methyl-5-(methylcarbamoyl)phenyl]-2-{[(1R)-1-methylpropyl]amino}-1,3-thiazole-5-carboxamide;1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-naphthalen-1-ylurea;3-(4-Fluorophenyl)-1-Hydroxy-2-(Pyridin-4-Yl)-1h-Pyrrolo[3,2-B]Pyridine;Triazolopyridine;N-(cyclopropylmethyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-4-carboxamide;1-(5-Tert-Butyl-2-P-Tolyl-2h-Pyrazol-3-Yl)-3-[4-(2-Morpholin-4-Yl-Ethoxy)-Naphthalen-1-Yl]-Urea;4-[5-(4-FLUORO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-3H-IMIDAZOL-4-YL]-PYRIDINE;3-(1-NAPHTHYLMETHOXY)PYRIDIN-2-AMINE;3-FLUORO-5-MORPHOLIN-4-YL-N-[3-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-5-YL]BENZAMIDE;3-fluoro-N-1H-indol-5-yl-5-morpholin-4-ylbenzamide;1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea;3-{3-bromo-4-[(2,4-difluorobenzyl)oxy]-6-methyl-2-oxopyridin-1(2H)-yl}-N,4-dimethylbenzamide;2-fluoro-4-[4-(4-fluorophenyl)-1H-pyrazol-3-yl]pyridine;N-(3-cyanophenyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)-4-biphenylcarboxamide;N-ethyl-4-{[5-(methoxycarbamoyl)-2-methylphenyl]amino}-5-methylpyrrolo[2,1-f][1,2,4]triazine-6-carboxamide;N~3~-cyclopropyl-N~4~'-(cyclopropylmethyl)-6-methylbiphenyl-3,4'-dicarboxamide;N-[4-CHLORO-3-(PYRIDIN-3-YLOXYMETHYL)-PHENYL]-3-FLUORO-;3-(2-CHLOROPHENYL)-1-(2-{[(1S)-2-HYDROXY-1,2-DIMETHYLPROPYL]AMINO}PYRIMIDIN-4-YL)-1-(4-METHOXYPHENYL)UREA;8-(2-CHLOROPHENYLAMINO)-2-(2,6-DIFLUOROPHENYLAMINO)-9-ETHYL-9H-PURINE-1,7-DIIUM;4-PHENOXY-N-(PYRIDIN-2-YLMETHYL)BENZAMIDE;2-{4-[5-(4-chlorophenyl)-4-pyrimidin-4-yl-1H-pyrazol-3-yl]piperidin-1-yl}-2-oxoethanol;2-(2,6-DIFLUOROPHENOXY)-N-(2-FLUOROPHENYL)-9-ISOPROPYL-9H-PURIN-8-AMINE;5-(2,6-dichlorophenyl)-2-[(2,4-difluorophenyl)sulfanyl]-6H-pyrimido[1,6-b]pyridazin-6-one;4-[5-[2-(1-Phenyl-Ethylamino)-Pyrimidin-4-Yl]-1-Methyl-4-(3-Trifluoromethylphenyl)-1h-Imidazol-2-Yl]-Piperidine;1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperazin-1-Yl-3,4-Dihydroquinazolin-2(1h)-One;3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE;3-(Benzyloxy)Pyridin-2-Amine
ORF3a	ORF3a;GU280_gp03	43560231	GeneID:43560231	Wuhan seafood market pneumonia virus			
E	E;GU280_gp04	43560232	GeneID:43560232	Wuhan seafood market pneumonia virus			
M	M;GU280_gp05	43560233	GeneID:43560233	Wuhan seafood market pneumonia virus			
ORF7a	ORF7a;GU280_gp07	43560235	GeneID:43560235	Wuhan seafood market pneumonia virus			
AKT1	AKT1;AKT;CWS6;PKB;PKB-ALPHA;PRKBA;RAC;RAC-ALPHA	207	GeneID:207;HGNC:HGNC:391;MIM:164730;ensembl_gene_id:ENSG00000142208	Homo sapiens	PLXNA1;BRCA1;FANCA;AKTIP;TRIB3;HSP90AA1;IMPDH2;BRAF;MAPKAPK2;MAPK14;TCL1A;MTCP1;KRT10;RAF1;SMAD2;SMAD3;SMAD4;SMAD7;RPS6KB1;TSC1;TSC2;MAPKAP1;ARHGAP32;PRKCQ;THEM4;CDKN1B;MAP3K11;MAP2K4;PRKCZ;GAB2;PDPK1;ILK;PKN2;MAP3K8;IRS1;NPM1;MARK2;NF2;PLXNB1;USP8;HDAC3;IKBKG;MXD1;CHUK;NCOR2;SMARCB1;SMARCB1;SMARCC1;MDM2;EZH2;PPA1;XIAP;CDC37;IKBKB;STUB1;DNMT1;SKP2;PA2G4;NEDD4;CTBP1;TTC3;CALM1;MTOR;ASXL1;ARRB2;COMMD1;Nedd4;PHLPP1;FKBP5;PPP3CA;PTEN;PTEN;IQGAP1;CHEK1;TERF2IP;PPP1CC;USP4;MUL1;TOPBP1;RICTOR;EP300;PTPA;ARHGEF2;VCP;LRRK2;SKI;STK4;VIM;PPP1CA;MAPK8IP1;SNCA;PINK1;NOS3;KAT2B;GSK3A;SIRT1;PIK3R1;PRKDC;PREX1;AR;APPL1;BCL10;AKT1;STK3;CLK2;CLK2;ARRB1;RARA;DAB2IP;CYLD;TRAF6;PPL;RGCC;CNOT9;HSPB1;PPP2R1A;JADE1;PIK3CA;NFE2L2;PDZK1;SIRT6;FOXO4;ITPR1;GRB10;CCDC88A;ALYREF;SORBS3;CSNK2A1;TERT;CLIP3;PLEKHO1;PAK1;FHL1;FAM110C;ACAP1;CDKN1C;CDKN1C;SNAI1;YBX1;SFN;PPP2CA;PLCG1;EGFR;TRIM13;MAPK8;MAPK9;PPP1CB;IRF3;TBK1;TNK2;TRIM15;TRIM15;TRIM15;TRIM15;TRIM15;TRIM15;TRIM15;TRIM15;PYGO2;TRAF4;SLC9A3R1;SRC;NGB;AHSA1;GABBR2;RASD2;GNB1;AGAP2;ACTA1;FGFR1;DUSP13;AKT3;AKT3;NR2F2;SRPK2;TEK;SLC9A1;FANCI;VHL;EGLN1;UBE2S;PRKCB;CCNF;KMT2D;ARNT;AURKA;CD44;CDK4;CDK6;CDKN2B;CDKN2C;EPHA2;FGFR4;FZR1;GLIS2;GLIS2;LATS2;MAP2K3;MAP2K5;MYC;PDGFRA;RASSF1;STK11;ARAF;BECN1;CBLC;CCND2;CCNE1;CDKN2A;ERBB2;HIF1A;KAT2A;KDELR2;MAP2K6;MSH2;NF1;SOX4;TEAD2;TNFRSF1A;TP53;CUL1;PFKP;IGF1R;GJA1;BAIAP2;BAIAP2L1;IWS1;MYH9;CD2AP;UCK2;WFS1;CAMK2D;FLII;FLII;PKD2;INTS3;INTS3;HSPA8;CAPN1;CABLES1;ATRX;EIF2AK3;AKT1S1;PKD1;SP1;SP3;BLVRA;PDK1;TBC1D7;LANCL2;SIRPA;PTPN11;MATK;SUPT6H;CHFR;FUS;NCF2;FAF1;CSK;RPS6KA1;RPS6KA1;ZDHHC18;ZDHHC23;ENO1;SYTL1;ZNF691;RNF11;USP1;ARHGAP29;ATP1A1;RNF115;HIST2H2BE;SETDB1;PSMB4;S100A14;NTRK1;IGSF8;TMCC2;IL24;SERTAD4;MTA3;MDH1;DCTN1;CREB1;RPE;FANCD2;CLASP2;CTNNB1;MST1R;PDHB;GSK3B;GATA2;PIK3CB;PI4K2B;UCHL1;CCNI;SH3RF1;HSPA4;KLHL3;HSPA9;CAMK2A;TCOF1;SNCB;HIST1H2BB;TUBB;ITPR3;CDKN1A;HSP90AB1;IBTK;FOXO3;CEP57L1;MAP3K5;ESR1;ACAT2;GET4;ACTB;RAC1;AGR3;CHN2;PPIA;YWHAG;BPGM;DLC1;EIF4EBP1;NSD3;KAT6A;YWHAZ;ZHX1;PTK2;KANK1;ACO1;TPM2;GDA;PTPN3;HSPA5;NOTCH1;PTGDS;NCOA4;HK1;ZRANB1;CD81;HBB;ARFIP2;LDHA;EEF1G;BAD;EMSY;THRSP;TMEM126B;ST14;GAPDH;ENO2;PHB2;PDE3A;TUBA1A;NR4A1;ERBB3;SMARCC2;METTL1;CTDSP2;TRHDE;SSH1;PEBP1;ATP6V0A2;MTUS2;FOXO1;EPSTI1;TBC1D4;ARHGEF7;LTB4R2;NFKBIA;KTN1;PPM1A;ZFP36L1;TCL1B;CKB;PAK6;PIAS1;CREBBP;CARHSP1;GRIN2A;ALDOA;OSGIN1;FBXO31;YWHAE;SRR;EIF4A1;RASL10B;CASC3;WNK4;GFAP;MAPT;NSF;ITGB3;CLTC;MRC2;PSMC5;DDX5;APOH;RPTOR;FASN;CEP76;NOL4;PIAS2;SERPINB5;PIP5K1C;DNAJB1;TPM4;BABAM1;AKT2;BCL3;BCL2L1;APP;TFF1;Sertad4;Foxo1;PICK1;SULT4A1;GATA1;HDAC6;PFKFB1;TRMT2B;PLP1;IL13RA2;ARHGEF6;IRAK1;SERTAD4;IBTK;TUBB;YWHAE;MAPT;NSF;TUBB;MAPT;NSF;TUBB;TUBB;TUBB;TUBB;TUBB;Cdkn1b;Akt2;Rpl23;Csnk1d;DLC1;LTB4R2	Physical Interaction;Genetic Interaction	Adenosine triphosphate;Inositol 1,3,4,5-Tetrakisphosphate;Arsenic trioxide;N-[2-(5-methyl-4H-1,2,4-triazol-3-yl)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine;5-(5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine
BCL2L1	BCL2L1;Bcl-X;BCL-XL/S;BCL2L;BCLX;PPP1R52	598	GeneID:598;HGNC:HGNC:992;HPRD:02497;MIM:600039;ensembl_gene_id:ENSG00000171552	Homo sapiens	BAK1;Bcl2l11;BCL2L11;BBC3;BIK;BAD;BCL2;BNIPL;BAX;SPNS1;BCL2L14;BCL2L14;CYCS;RAF1;RTN4;RTN1;HRK;BLK;RAD9A;BCAP31;IRS1;APAF1;VDAC1;MOAP1;MOAP1;MCL1;IKZF3;CFLAR;AVEN;PSEN2;PSEN1;CASP2;CASP8;PMAIP1;BNIP1;BNIP3;PGAM5;BLID;UHRF2;PARK7;PPP1CA;PPP1CC;BFAR;BFAR;CRYAA;CRYAB;BECN1;CLU;Mapk1;ATXN3;AKT1;PRKN;TPT1;CDKN2A;BCL2L1;Bax;MTOR;GIMAP5;TP53;ABL1;HNRNPA1;CREB3;Hsph1;BID;MAPK8;USP14;USP27X;BLK;ced-9;ced-4;MTNR1B;PLK1;MAPK9;GSK3A;GSK3B;MAPKAPK2;MAPK14;CDK1;CHEK1;AURKA;PLK3;USP18;TNIP2;RNF4;BCL2L12;RNF183;RYR3;KRAS;CASP9;CAPZB;PINK1;EPHB2;DOCK7;PHGDH;TP53BP2;HNRNPU;YWHAQ;CAD;SPTBN1;RAB1A;ACTR2;PCBP1;CCT7;RANBP2;HSPD1;TUBA4A;HDAC4;CTNNB1;MST1R;RBM5;AP2M1;PDS5A;PRKAA1;LARP1;HIST1H1E;TUBB;FLOT1;BRD2;EEF1A1;CASP8AP2;ATG5;ACTB;IGF2BP3;HSPB1;GNAI1;PTN;PDIA4;BNIP3L;PRKDC;FABP5;WWP1;ZHX1;RPL8;TLE1;FBP1;RPL12;SPTAN1;SVIL;VDAC2;ABLIM1;EDRF1;GSTP1;RPS3;CASP1;GAPDH;PPHLN1;CDK2;RPS26;DYNLL1;ZNF219;BCL2L2;ZFYVE1;CALM1;BMF;UBR1;TMOD3;RPS15A;VAC14;GLOD4;MYO1C;MYH10;PSMD11;JUP;SLC16A5;METTL23;HGS;MYO5B;DOT1L;TYK2;FKBP8;PLD3;CKM;TOP1;GNAS;YWHAH;MIEF1;TUBB;FLOT1;TUBB;FLOT1;BRD2;TUBB;FLOT1;BRD2;TUBB;FLOT1;BRD2;TUBB;FLOT1;BRD2;TUBB;FLOT1;BRD2;TUBB;FLOT1;BRD2;CASP8AP2	Physical Interaction;Genetic Interaction	4'-FLUORO-1,1'-BIPHENYL-4-CARBOXYLIC ACID
BCL2L11	BCL2L11;BAM;BIM;BOD	10018	GeneID:10018;HGNC:HGNC:994;HPRD:04828;MIM:603827;ensembl_gene_id:ENSG00000153094	Homo sapiens	BCL2L2;BCL2L1;DYNLL2;DYNLL1;Vdac1;VDAC1;BCL2;BTK;MCL1;Trim2;Akt1;UBQLN2;HSPA4;CUL2;VHL;RACK1;CISH;BTRC;FBXW11;MAPK8;BAG3;ATP6V1G1;AURKB;NDRG1;MAGEA11;GIMAP5;BCL2A1;EDNRA;KIF22;USP27X;MAPK1;MAPK3;SLC39A12;KLHL10;P4HA3;SLC18A1;ADAM32;ADAM32;PCDHB11;TNIP2;CSK;MTHFR;GADD45A;CD302;TRIM2;FEM1C;GTF2I;FGL1;MTA2;ANKLE2;ELOB;ATP2A3;RIOK3;RHPN2;BAX;YWHAB;AURKA;APP;SMARCB1;SMARCB1	Physical Interaction;Genetic Interaction	
CYCS	CYCS;CYC;HCS;THC4	54205	GeneID:54205;HGNC:HGNC:19986;HPRD:00479;MIM:123970;ensembl_gene_id:ENSG00000172115	Homo sapiens	GSTK1;HSPB1;VDAC1;COX4I2;UQCRC1;CDK2;AGTPBP1;ARL2;ITGA4;HECW2;BAX;CUL9;CAT;CYB5B;GPD1L;UQCRFS1;MED4;MED20;MED23;SUGCT;FMC1;PTPMT1;COQ10B;SPATA20;C19orf70;COQ6;CCDC58;ACP6;COQ7;TRUB2;NME4;LRG1;UBE2N;PTPMT1;ETFRF1;TES;EGLN3;RNF4;APAF1;VCP;AIFM1;VIRMA;KRAS;CASP9;GLRX2;HADH;IMPA1;CYC1;NDOR1;TRAF6;ACAT1;HSPA8;NLE1;KRT40;IMPA2;CYB5A;PRDX2;BCL2L1;KRT40	Physical Interaction;Genetic Interaction	N-Trimethyllysine;Zinc Substituted Heme C;Protoporphyrin Ix Containing Zn;Heme C;Protoporphyrin Ix Containing Co;Minocycline
FASLG	FASLG;ALPS1B;APT1LG1;APTL;CD178;CD95-L;CD95L;FASL;TNFSF6;TNLG1A	356	GeneID:356;HGNC:HGNC:11936;HPRD:00610;MIM:134638;ensembl_gene_id:ENSG00000117560	Homo sapiens	BID;EZR;FADD;FAS;MAPK8;MSN;CASP10;CASP8;RHOA;ARHGDIA;GRB2;FNBP1;PACSIN2;MMP7;TNFRSF6B;GRAP;GRAP2;NCK1;FYN;PTPN13;FGR;LYN;ITSN2;LCK;EPS8L3;NOTCH2NL;SPTA1;SRGAP2;NCK2;CACNB4;CFLAR;MPP4;FN1;SRGAP3;NCKIPSD;KALRN;PIK3CA;TEC;SNX18;PIK3R1;SH3RF2;ITK;SH3PXD2B;SNX9;EIF2AK1;MACC1;SKAP2;NCF1;BAIAP2L1;TRIP6;DOCK4;SORBS3;TNFRSF10B;RGS20;OSTF1;DNMBP;SH3PXD2A;DLG2;TNFRSF1A;P3H3;CACNB3;ARHGAP9;SRGAP1;CLPX;SNX33;SH3GL3;CRK;MYO15A;KRT40;P3H4;YES1;TJP3;MIA;HCK;SRC;SAMSN1;PRMT2;RIMBP3C;MOSPD2;BTK;CRK;KRT40;FYB1	Physical Interaction	
BBC3	BBC3;JFY-1;JFY1;PUMA	27113	GeneID:27113;HGNC:HGNC:17868;MIM:605854;ensembl_gene_id:ENSG00000105327	Homo sapiens	BCL2;MCL1;ALB;BCL2L1;BCL2A1;EGFR;BCL2L2;TNIP2;TP53;SET;H3F3A;EP300;CREBBP;MAP1LC3A;SQSTM1;SQSTM1;CHUK;FOXO3;NOL3	Physical Interaction	
